|Cod_sector|;|Sub_sector|;|Sector|
|1343|;|Hoteles|;|Alojamiento|
|1346|;|Estaciones de servicio|;|Transporte|
|1347|;|Restauración|;|Bares y Restaurantes|
|1348|;|Medios de Transporte|;|Transporte|
|1349|;|Restauración|;|Bares y Restaurantes|
|1350|;|Supermercados|;|Hipermercados y grandes superficies|
|1353|;|Supermercados|;|Hipermercados y grandes superficies|
|1354|;|Supermercados|;|Hipermercados y grandes superficies|
|1355|;|Ropa y Complementos|;|Moda|
|1356|;|Tiendas de deportes|;|Deportes y Juguetes|
|1357|;|Tiendas de bebé|;|Moda|
|1358|;|Ropa y Complementos|;|Moda|
|1361|;|Electrodomésticos|;|Hipermercados y grandes superficies|
|1362|;|Supermercados|;|Hipermercados y grandes superficies|
|1363|;|Supermercados|;|Hipermercados y grandes superficies|
|1364|;|Estaciones de servicio|;|Transporte|
|1366|;|Supermercados|;|Hipermercados y grandes superficies|
|1367|;|Estaciones de servicio|;|Transporte|
|1368|;|Gourmet y Delicatessen|;|Alimentación|
|1369|;|Medios de Transporte|;|Transporte|
|1370|;|Supermercados|;|Hipermercados y grandes superficies|
|1371|;|Ropa y Complementos|;|Moda|
|1373|;|Supermercados|;|Hipermercados y grandes superficies|
|1375|;|Medios de Transporte|;|Transporte|
|1376|;|Parkings|;|Transporte|
|1379|;|Supermercados|;|Hipermercados y grandes superficies|
|1380|;|Medios de Transporte|;|Transporte|
|1383|;|Ropa y Complementos|;|Moda|
|1390|;|Supermercados|;|Hipermercados y grandes superficies|
|1391|;|Perfumería y cosmética|;|Cuidado y Belleza|
|1392|;|Ropa y Complementos|;|Moda|
|1394|;|Ropa y Complementos|;|Moda|
|1395|;|Supermercados|;|Hipermercados y grandes superficies|
|1397|;|Supermercados|;|Hipermercados y grandes superficies|
|1398|;|Hoteles|;|Alojamiento|
|1399|;|Restauración|;|Bares y Restaurantes|
|1400|;|Supermercados|;|Hipermercados y grandes superficies|
|1401|;|Supermercados|;|Hipermercados y grandes superficies|
|1402|;|Supermercados|;|Hipermercados y grandes superficies|
|1403|;|Supermercados|;|Hipermercados y grandes superficies|
|1405|;|Supermercados|;|Hipermercados y grandes superficies|
|1406|;|Ropa y Complementos|;|Moda|
|1409|;|Supermercados|;|Hipermercados y grandes superficies|
|1410|;|Supermercados|;|Hipermercados y grandes superficies|
|1411|;|Supermercados|;|Hipermercados y grandes superficies|
|1413|;|Supermercados|;|Hipermercados y grandes superficies|
|1415|;|Supermercados|;|Hipermercados y grandes superficies|
|1416|;|Tiendas de deportes|;|Deportes y Juguetes|
|1417|;|Perfumería y cosmética|;|Cuidado y Belleza|
|1418|;|Supermercados|;|Hipermercados y grandes superficies|
|1420|;|Estaciones de servicio|;|Transporte|
|1421|;|Electrodomésticos|;|Hipermercados y grandes superficies|
|1422|;|Ferretería y Bricolaje|;|Hogar|
|1423|;|Supermercados|;|Hipermercados y grandes superficies|
|1424|;|Imagen, sonido e informática|;|Hipermercados y grandes superficies|
|1425|;|Medios de Transporte|;|Transporte|
|1427|;|Imagen, sonido e informática|;|Electrónica e Informática|
|1428|;|Restauración|;|Bares y Restaurantes|
|1429|;|Imagen, sonido e informática|;|Electrónica e Informática|
|1430|;|Juguetería y ocio|;|Deportes y Juguetes|
|1431|;|Taller y Automoción|;|Transporte|
|1433|;|Alquiler de vehículos|;|Transporte|
|1434|;|Supermercados|;|Hipermercados y grandes superficies|
|1435|;|Electrodomésticos|;|Hogar|
|1436|;|Ropa y Complementos|;|Moda|
|1438|;|Menaje|;|Hogar|
|1439|;|Ropa y Complementos|;|Moda|
|1440|;|Taller y Automoción|;|Transporte|
|1442|;|Juguetería y ocio|;|Deportes y Juguetes|
|1443|;|Taller y Automoción|;|Transporte|
|1447|;|Joyería y Relojería|;|Moda|
|1450|;|Ropa y Complementos|;|Moda|
|1451|;|Taller y Automoción|;|Transporte|
|1452|;|Zapaterías|;|Moda|
|1455|;|Imagen, sonido e informática|;|Electrónica e Informática|
|1457|;|Ferretería y Bricolaje|;|Hipermercados y grandes superficies|
|1458|;|Hoteles|;|Alojamiento|
|1459|;|Ropa y Complementos|;|Moda|
|1460|;|Muebles y decoración|;|Hogar|
|1462|;|Muebles y decoración|;|Hipermercados y grandes superficies|
|1463|;|Menaje|;|Hipermercados y grandes superficies|
|1465|;|Golosinas|;|Alimentación|
|1466|;|Cocina|;|Hogar|
|1468|;|Ropa y Complementos|;|Moda|
|1469|;|Taller y Automoción|;|Transporte|
|1470|;|Imagen, sonido e informática|;|Hipermercados y grandes superficies|
|1471|;|Floristería|;|Hipermercados y grandes superficies|
|1472|;|Perfumería y cosmética|;|Hipermercados y grandes superficies|
|1473|;|Ferretería y Bricolaje|;|Hogar|
|1475|;|Electrodomésticos|;|Hogar|
|1476|;|Alojamientos Rurales|;|Alojamiento|
|1480|;|Ferretería y Bricolaje|;|Hogar|
|1487|;|Muebles y decoración|;|Hogar|
|1488|;|Ropa y Complementos|;|Moda|
|1493|;|Tiendas de deportes|;|Deportes y Juguetes|
|1496|;|Hoteles|;|Alojamiento|
|1521|;|Estaciones de servicio|;|Transporte|
|1522|;|Estaciones de servicio|;|Transporte|
|1524|;|Estaciones de servicio|;|Transporte|
